index,budget,genres,homepage,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,cast,director,userId
12,200000000,Adventure Fantasy Action,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,,Pirates of the Caribbean: Dead Man's Chest,145.847379,20-06-2006,1065659812,151,Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5246,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski,13
13,255000000,Action Adventure Western,http://disney.go.com/the-lone-ranger/,57201,texas horse survivor texas ranger partner,en,The Lone Ranger,49.046956,03-07-2013,89289910,149,Released,Never Take Off the Mask,The Lone Ranger,5.9,2311,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski,34
14,225000000,Action Adventure Fantasy Science Fiction,http://www.manofsteel.com/,49521,saving the world dc comics superhero based on comic book superhuman,en,Man of Steel,99.398009,12-06-2013,662845518,143,Released,You will believe that a man can fly.,Man of Steel,6.5,6359,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder,20
15,225000000,Adventure Family Fantasy,,2454,based on novel fictional place brother sister relationship lion human being,en,The Chronicles of Narnia: Prince Caspian,53.978602,15-05-2008,419651413,150,Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson,9
16,220000000,Science Fiction Action Adventure,http://marvel.com/avengers_movie/,24428,new york shield marvel comic superhero based on comic book,en,The Avengers,144.448633,25-04-2012,1519557910,143,Released,Some assembly required.,The Avengers,7.4,11776,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon,41
17,380000000,Adventure Action Fantasy,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,sea captain mutiny sword prime minister,en,Pirates of the Caribbean: On Stranger Tides,135.413856,14-05-2011,1045713802,136,Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall,37
18,225000000,Action Comedy Science Fiction,http://www.sonypictures.com/movies/meninblack3/,41154,time travel time machine alien fictional government agency seeing the future,en,Men in Black 3,52.035179,23-05-2012,624026776,106,Released,They are back... in time.,Men in Black 3,6.2,4160,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld,29
19,250000000,Action Adventure Fantasy,http://www.thehobbit.com/,122917,corruption elves dwarves orcs middle-earth (tolkien),en,The Hobbit: The Battle of the Five Armies,120.965743,10-12-2014,956019788,144,Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,14
20,215000000,Action Adventure Fantasy,http://www.theamazingspiderman.com,1930,loss of father vigilante serum marvel comic scientific experiment,en,The Amazing Spider-Man,89.866276,27-06-2012,752215857,136,Released,The untold story begins.,The Amazing Spider-Man,6.5,6586,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb,18
21,200000000,Action Adventure,http://www.robinhoodthemovie.com/,20662,robin hood archer knight sherwood forest bow and arrow,en,Robin Hood,37.668301,12-05-2010,310669540,140,Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott,11
